中国:进口数量:原油:当月值
9.00 
12.00 
94.00 
157.00 
84.00 
63.00 
135.00 
81.00 
58.00 
62.00 
72.00 
739.00 
48.00 
36.00 
159.00 
85.00 
88.00 
110.00 
83.00 
62.00 
63.00 
59.00 
83.00 
360.00 
36.00 
29.00 
180.00 
100.00 
207.00 
144.00 
98.00 
93.00 
241.00 
153.00 
168.00 
260.00 
144.00 
145.00 
202.00 
215.00 
190.00 
210.00 
156.00 
188.00 
138.00 
273.00 
212.00 
209.00 
157.00 
241.00 
330.00 
262.00 
180.00 
271.00 
329.00 
342.00 
296.00 
302.00 
346.00 
490.00 
152.00 
342.00 
311.00 
307.00 
192.00 
298.00 
255.00 
225.00 
216.00 
117.00 
137.00 
129.00 
131.00 
167.00 
433.00 
293.00 
309.00 
298.00 
232.00 
419.00 
429.00 
208.00 
367.00 
375.00 
450.00 
582.00 
679.00 
560.00 
425.00 
544.00 
558.00 
726.00 
677.00 
592.00 
649.00 
570.00 
370.00 
519.00 
469.00 
713.00 
474.00 
654.00 
503.00 
599.00 
498.00 
401.00 
424.00 
399.00 
471.00 
451.00 
537.00 
649.00 
555.00 
637.00 
601.00 
656.00 
622.00 
511.00 
733.00 
519.00 
836.00 
658.00 
728.00 
789.00 
604.00 
766.00 
683.00 
679.00 
979.00 
693.00 
764.00 
934.00 
1029.53 
1052.55 
932.00 
1000.00 
962.00 
1127.00 
961.00 
933.00 
1035.00 
928.00 
1112.00 
1210.00 
782.00 
1035.06 
1147.00 
1226.00 
1040.95 
1125.00 
1107.00 
876.00 
1085.00 
1125.00 
1033.00 
1127.00 
1323.00 
1117.00 
1272.98 
1203.00 
1239.00 
1179.00 
1064.00 
1182.00 
1346.00 
1082.00 
1354.00 
1156.00 
1369.00 
1210.00 
1386.00 
1482.00 
1297.00 
1412.00 
1483.00 
1404.00 
1366.00 
1261.00 
1361.00 
1288.00 
1394.00 
1429.00 
1730.00 
1424.00 
1620.00 
1457.00 
1379.00 
1565.00 
1503.00 
1616.00 
1336.00 
1437.00 
1282.00 
1173.00 
1634.00 
1617.00 
1709.00 
1661.00 
1963.00 
1847.00 
1720.00 
1934.00 
1712.00 
2126.00 
1710.00 
1851.00 
2106.00 
2117.00 
1784.00 
2227.00 
1900.00 
2090.00 
2329.00 
1639.00 
2091.00 
2086.00 
2180.00 
1995.00 
2167.00 
2154.00 
2155.00 
1970.00 
1943.00 
2104.00 
2045.00 
2080.00 
2269.00 
2192.00 
2341.00 
2364.00 
2355.00 
2226.00 
2548.00 
2172.00 
2183.00 
1840.00 
2008.00 
2368.00 
2337.00 
2367.00 
2515.00 
2078.00 
2305.00 
2308.00 
2395.00 
2217.00 
2611.00 
2143.00 
2568.00 
2041.00 
2356.00 
2678.00 
2815.45 
2305.04 
2351.83 
2787.50 
2608.24 
2327.93 
2375.78 
2519.00 
2757.71 
2408.92 
2541.09 
3037.27 
2798.06 
2555.33 
2680.81 
3028.58 
2324.48 
2949.18 
3070.91 
2659.28 
2794.98 
2635.19 
2733.76 
3318.56 
2669.00 
3180.00 
3261.00 
3258.00 
3224.00 
3062.00 
3107.00 
3285.00 
3306.00 
2879.00 
3235.00 
3638.00 
3403.00 
3178.00 
3895.00 
3439.00 
3720.00 
3611.00 
3474.00 
3398.00 
3701.00 
3103.00 
3704.00 
3370.00 
4064.00 
3226.00 
3917.00 
3946.00 
3905.00 
3435.00 
3602.00 
3838.00 
3721.00 
4080.00 
4287.00 
4378.00 
4260.00 
3923.00 
3934.00 
4373.00 
4023.00 
3958.00 
4104.00 
4217.00 
4124.00 
4551.00 
4574.00 
4548.00 
4610.00 
3998.00 
4110.00 
4043.00 
4797.00 
5318.00 
5129.00 
4748.00 
4848.00 
4256.00 
4536.00 
3847.00 
4459.00 
4498.00 
4966.00 
4036.00 
4097.00 
4013.00 
4124.00 
4453.00 
4105.00 
3780.00 
4179.00 
4614.00 
4880.00 
3634.00 
4271.00 
4303.00 
4582.00 
3582.00 
3733.00 
4035.00 
4024.00 
4314.00 
4674.00 
4807.00 
4333.00 
4074.00 
5231.00 
4241.00 
5144.00 
5206.00 
4369.00 
5280.00 
4574.00 
