Value
11.10 
11.12 
11.87 
11.28 
12.03 
11.43 
11.81 
14.67 
11.29 
10.86 
11.06 
11.75 
12.04 
11.35 
11.94 
11.44 
12.28 
11.80 
11.80 
11.79 
11.30 
11.90 
11.47 
11.07 
12.41 
11.71 
12.26 
11.71 
12.20 
11.74 
11.99 
11.90 
11.30 
11.59 
11.77 
12.77 
12.01 
11.78 
12.67 
12.41 
12.89 
12.96 
12.84 
12.70 
12.47 
12.22 
12.43 
13.02 
12.82 
11.71 
12.88 
12.28 
13.10 
12.91 
12.90 
12.61 
12.28 
13.01 
13.06 
12.65 
13.09 
12.50 
13.15 
12.47 
13.21 
12.98 
12.92 
13.01 
12.56 
12.67 
12.71 
13.00 
11.95 
12.83 
13.00 
12.80 
13.10 
12.90 
12.60 
13.00 
12.70 
12.60 
12.90 
13.90 
8.70 
13.20 
13.80 
13.60 
13.80 
13.80 
14.20 
14.10 
13.50 
14.60 
13.60 
14.30 
14.85 
13.13 
14.30 
13.80 
14.05 
13.73 
14.23 
13.69 
13.57 
14.49 
14.68 
15.72 
13.32 
13.87 
14.91 
14.13 
14.12 
14.42 
14.42 
13.85 
14.15 
14.76 
14.45 
15.82 
14.62 
17.48 
16.69 
15.99 
16.05 
16.12 
15.94 
15.68 
16.52 
17.13 
17.19 
16.26 
18.21 
17.76 
21.24 
21.43 
19.28 
19.39 
19.94 
19.94 
20.12 
21.15 
19.45 
22.93 
19.07 
18.21 
19.63 
18.34 
16.08 
16.59 
17.39 
17.65 
17.88 
19.18 
19.73 
22.75 
20.05 
18.94 
21.04 
18.20 
19.80 
19.83 
20.35 
20.21 
20.25 
20.63 
22.48 
23.34 
24.40 
23.85 
23.11 
20.78 
21.53 
21.84 
21.41 
21.70 
21.66 
23.09 
23.99 
31.33 
24.53 
25.15 
24.30 
23.04 
24.82 
24.99 
24.81 
25.40 
25.48 
25.50 
26.61 
28.56 
31.03 
28.44 
27.81 
26.33 
26.70 
25.00 
26.37 
26.38 
25.83 
26.41 
29.05 
30.68 
32.09 
27.62 
29.05 
27.34 
27.41 
26.40 
27.40 
27.00 
27.40 
29.40 
28.70 
33.50 
34.40 
33.70 
33.70 
31.20 
32.50 
30.90 
32.00 
33.10 
32.40 
35.90 
37.30 
40.80 
45.00 
37.80 
41.30 
39.30 
40.00 
38.20 
39.50 
40.60 
39.40 
42.60 
47.50 
53.91 
54.06 
52.01 
52.93 
46.04 
46.07 
47.47 
47.99 
48.15 
46.35 
48.79 
51.41 
54.02 
58.06 
57.95 
56.70 
53.50 
57.44 
54.80 
55.40 
57.50 
57.90 
60.30 
59.50 
58.70 
68.79 
65.42 
72.07 
51.00 
97.90 
81.71 
13.13 
65.41 
62.61 
60.81 
67.29 
68.35 
73.33 
70.95 
76.63 
69.13 
67.14 
76.89 
77.87 
74.66 
76.48 
65.48 
83.67 
62.28 
90.74 
80.36 
93.17 
87.23 
81.87 
77.09 
82.86 
107.19 
86.72 
87.97 
101.31 
97.52 
112.77 
105.45 
105.92 
101.73 
100.95 
106.68 
110.22 
105.39 
109.89 
102.93 
117.61 
129.21 
139.58 
135.97 
141.63 
74.27 
94.18 
114.29 
115.93 
111.05 
116.28 
122.56 
133.06 
146.93 
145.17 
134.75 
128.97 
135.69 
127.75 
126.71 
126.94 
136.16 
130.60 
134.63 
140.94 
163.17 
169.23 
146.58 
147.35 
140.62 
146.54 
138.99 
152.38 
146.64 
140.29 
147.35 
147.29 
181.00 
176.95 
161.44 
155.68 
142.67 
139.22 
144.34 
148.72 
148.27 
138.80 
150.78 
159.12 
189.01 
223.00 
163.42 
183.30 
168.59 
155.21 
155.22 
153.11 
151.00 
177.59 
158.88 
183.92 
213.64 
226.00 
202.00 
208.00 
169.00 
160.00 
189.20 
193.60 
194.10 
190.00 
200.40 
213.40 
241.90 
243.00 
215.00 
214.90 
217.00 
225.30 
219.80 
228.80 
233.20 
224.20 
231.70 
266.30 
277.40 
287.00 
239.30 
243.70 
243.60 
245.30 
238.00 
250.00 
250.00 
231.30 
237.80 
272.20 
288.00 
296.50 
230.50 
258.00 
259.50 
264.70 
246.90 
246.30 
256.20 
250.80 
267.80 
290.80 
339.10 
353.00 
273.00 
300.00 
293.70 
312.00 
294.40 
283.70 
294.70 
277.20 
291.40 
317.80 
435.10 
366.30 
366.30 
297.50 
297.10 
298.60 
288.70 
298.20 
295.80 
279.20 
305.30 
319.50 
329.20 
329.20 
329.20 
338.90 
317.90 
334.40 
325.20 
324.90 
326.80 
296.10 



